NO,NO KEC,KECAMATAN,TERAKREDITASI (A),TERAKREDITASI (B),TERAKREDITASI (C),SEKOLAH MENENGAH PERTAMA (SMP) NEGERI BELUM TERAKREDITASI,JUMLAH TOTAL SEKOLAH MENENGAH PERTAMA (SMP)
1,32.75.01,Bekasi Timur,6,0,0,1,7
2,32.75.02,Bekasi Barat,3,0,0,2,5
3,32.75.03,Bekasi Utara,6,0,0,1,7
4,32.75.04,Bekasi Selatan,3,0,0,3,6
5,32.75.05,Rawalumbu,4,0,0,1,5
6,32.75.06,Medansatria,1,2,0,0,3
7,32.75.07,Bantargebang,1,0,0,2,3
8,32.75.08,Pondokgede,2,1,0,1,4
9,32.75.09,Jatiasih,6,1,0,0,7
10,32.75.10,Jatisampurna,2,1,0,0,3
11,32.75.11,Mustikajaya,5,0,0,0,5
12,32.75.12,Pondokmelati,1,0,0,0,1