NO,NO KEC,KECAMATAN,TERAKREDITASI (A),TERAKREDITASI (B),TERAKREDITASI (C),SEKOLAH MENENGAH PERTAMA (SMP) SWASTA BELUM TERAKREDITASI,JUMLAH TOTAL SEKOLAH MENENGAH PERTAMA (SMP)
1,32.75.01,Bekasi Timur,15,4,0,6,25
2,32.75.02,Bekasi Barat,9,2,0,5,16
3,32.75.03,Bekasi Utara,25,6,0,2,33
4,32.75.04,Bekasi Selatan,9,4,1,1,15
5,32.75.05,Rawalumbu,20,2,0,1,23
6,32.75.06,Medansatria,18,5,2,1,26
7,32.75.07,Bantargebang,6,1,0,0,7
8,32.75.08,Pondokgede,10,2,1,6,19
9,32.75.09,Jatiasih,14,9,1,6,30
10,32.75.10,Jatisampurna,10,1,0,3,14
11,32.75.11,Mustikajaya,14,4,0,3,21
12,32.75.12,Pondokmelati,9,5,0,0,14